id,policyNo,policyType,policyStartDate,policyEndDate,tableName,membershipTypeId,membershipTypeName
128672,RSA61035,RSA Retail,2022-05-28,2025-05-27,memerbership,null,null
128676,RSA61920,RSA Retail,2022-05-27,2024-05-26,memerbership,null,null
128683,RSA61280,RSA Retail,2022-03-31,2025-03-30,memerbership,null,null
128694,RSA60488,RSA Retail,2022-05-20,2025-05-19,memerbership,null,null
128725,RSA60945,RSA Retail,2023-04-29,2024-04-28,memerbership,null,null
128751,RSA60750,RSA Retail,2020-11-27,2025-11-26,memerbership,null,null
128884,RSA60854,RSA Retail,2023-05-22,2024-05-21,memerbership,null,null
128923,RSA59232,RSA Retail,2022-07-14,2024-07-13,memerbership,null,null
128946,RSA60883,RSA Retail,2022-06-22,2024-06-21,memerbership,null,null
128961,RSA59736,RSA Retail,2023-06-12,2026-06-11,memerbership,null,null
129006,RSA60411,RSA Retail,2022-07-25,2024-07-24,memerbership,null,null
129017,RSA27844,RSA Retail,2022-07-04,2025-07-03,memerbership,null,null
129036,RSA61003,RSA Retail,2023-07-12,2025-07-11,memerbership,null,null
129069,RSA59470,RSA Retail,2022-07-31,2024-07-30,memerbership,null,null
129095,RSA60952,RSA Retail,2022-07-12,2024-07-11,memerbership,null,null
129232,RSA59236,RSA Retail,2022-07-30,2025-07-29,memerbership,null,null
129237,RSA60287,RSA Retail,2022-08-29,2025-08-28,memerbership,null,null
129272,RSA61370,RSA Retail,2023-09-27,2024-09-26,memerbership,null,null
129313,RSA61964,RSA Retail,2023-07-25,2024-07-24,memerbership,null,null
129329,RSA60858,RSA Retail,2023-09-01,2024-08-31,memerbership,null,null
129428,RSA45033,RSA Retail,2023-09-11,2024-09-10,memerbership,null,null
129449,RSA60268,RSA Retail,2024-02-06,2025-02-05,memerbership,null,null
129453,RSA60568,RSA Retail,2023-01-04,2026-01-03,memerbership,null,null
129469,RSA59972,RSA Retail,2022-12-05,2024-12-04,memerbership,null,null
129498,RSA40162,RSA Retail,2022-12-24,2025-12-23,memerbership,null,null
129905,RSA60900,RSA Retail,2022-08-04,2025-08-03,memerbership,null,null
130454,RSA54824,RSA Retail,2023-04-17,2026-04-16,memerbership,null,null
131123,RSA54534,RSA Retail,2023-09-28,2024-09-27,memerbership,null,null
131146,RSA62090,RSA Retail,2023-09-07,2024-09-06,memerbership,null,null
131478,null,Warranty,2020-05-26,2024-05-25,memerbership,null,null
131775,null,Warranty,2020-04-29,2024-04-28,memerbership,null,null
131919,null,Warranty,2020-04-14,2024-04-13,memerbership,null,null
131992,null,Warranty,2020-05-31,2024-05-30,memerbership,null,null
132043,null,Warranty,2020-04-14,2024-04-13,memerbership,null,null
132044,null,Warranty,2020-04-29,2024-04-28,memerbership,null,null
132048,RSA59849,RSA Retail,2024-02-21,2025-02-20,memerbership,null,null
132090,null,Warranty,2020-05-26,2024-05-25,memerbership,null,null
132136,null,Warranty,2020-06-03,2024-06-02,memerbership,null,null
132242,null,Warranty,2020-06-23,2024-06-22,memerbership,null,null
132288,null,Warranty,2020-04-22,2024-04-21,memerbership,null,null
132304,null,Warranty,2020-06-05,2024-06-04,memerbership,null,null
132323,null,Warranty,2020-04-14,2024-04-13,memerbership,null,null
